iter	Passed	Remaining
661	1035	528
662	1037	527
663	1038	525
664	1040	523
665	1041	522
666	1042	520
667	1044	518
668	1045	517
669	1046	515
670	1048	513
671	1049	512
672	1050	510
673	1051	508
674	1053	507
675	1054	505
676	1056	503
677	1057	502
678	1058	500
679	1059	498
680	1060	496
681	1062	495
682	1063	493
683	1064	491
684	1066	490
685	1067	488
686	1069	487
687	1070	485
688	1072	483
689	1073	482
690	1074	480
691	1076	478
692	1077	477
693	1078	475
694	1079	473
695	1080	472
696	1082	470
697	1083	468
698	1085	467
699	1086	465
700	1087	463
701	1088	462
702	1089	460
703	1091	458
704	1092	457
705	1093	455
706	1094	453
707	1096	452
708	1097	450
709	1098	448
710	1101	447
711	1102	445
712	1103	444
713	1104	442
714	1106	440
715	1107	439
716	1108	437
717	1109	435
718	1111	434
719	1112	432
720	1114	431
721	1116	429
722	1117	428
723	1118	426
724	1119	424
725	1121	423
726	1122	421
727	1123	419
728	1124	418
729	1125	416
730	1127	414
731	1128	413
732	1129	411
733	1131	410
734	1132	408
735	1133	406
736	1135	405
737	1136	403
738	1138	401
739	1139	400
740	1140	398
741	1141	396
742	1142	395
743	1145	393
744	1146	392
745	1148	390
746	1149	389
747	1150	387
748	1151	386
749	1153	384
750	1154	382
751	1155	381
752	1156	379
753	1158	377
754	1160	376
755	1162	375
756	1164	373
757	1165	372
758	1166	370
759	1168	368
760	1169	367
761	1171	365
762	1172	364
763	1173	362
764	1175	361
765	1177	359
766	1179	358
767	1180	356
768	1182	355
769	1183	353
770	1185	351
771	1186	350
772	1187	348
773	1189	347
774	1191	345
775	1193	344
776	1194	342
777	1195	341
778	1197	339
779	1198	338
780	1199	336
781	1201	334
782	1202	333
783	1203	331
784	1205	330
785	1207	328
786	1209	327
787	1210	325
788	1212	324
789	1213	322
790	1215	321
791	1217	319
792	1218	318
793	1219	316
794	1221	315
795	1223	313
796	1225	312
797	1226	310
798	1227	308
799	1229	307
800	1230	305
801	1231	304
802	1233	302
803	1234	300
804	1236	299
805	1238	298
806	1240	296
807	1241	295
808	1242	293
809	1244	291
810	1245	290
811	1246	288
812	1247	287
813	1249	285
814	1250	283
815	1252	282
816	1254	280
817	1255	279
818	1256	277
819	1258	276
820	1259	274
821	1260	273
822	1262	271
823	1263	269
824	1265	268
825	1267	267
826	1268	265
827	1270	263
828	1271	262
829	1272	260
830	1274	259
831	1275	257
832	1276	255
833	1277	254
834	1279	252
835	1280	251
836	1282	249
837	1284	248
838	1286	246
839	1287	245
840	1288	243
841	1290	242
842	1291	240
843	1292	238
844	1294	237
845	1296	236
846	1298	234
847	1300	233
848	1301	231
849	1302	229
850	1304	228
851	1306	226
852	1307	225
853	1308	223
854	1310	222
855	1312	220
856	1313	219
857	1315	217
858	1316	216
859	1317	214
860	1318	212
861	1320	211
862	1321	209
863	1322	208
864	1323	206
865	1325	205
866	1327	203
867	1328	202
868	1330	200
869	1331	198
870	1332	197
871	1334	195
872	1335	194
873	1336	192
874	1338	191
875	1339	189
876	1341	188
877	1343	186
878	1344	185
879	1346	183
880	1347	181
881	1348	180
882	1349	178
883	1350	177
884	1351	175
885	1353	174
886	1354	172
887	1356	171
888	1357	169
889	1359	167
890	1360	166
891	1361	164
892	1362	163
893	1364	161
894	1365	160
895	1366	158
896	1367	157
897	1369	155
898	1371	154
899	1372	152
900	1374	150
901	1375	149
902	1376	147
903	1378	146
904	1379	144
905	1380	143
906	1381	141
907	1382	140
908	1384	138
909	1385	137
910	1387	135
911	1388	133
912	1389	132
913	1390	130
914	1391	129
915	1392	127
916	1394	126
917	1395	124
918	1396	123
919	1398	121
920	1399	120
921	1400	118
922	1402	116
923	1403	115
924	1404	113
925	1406	112
926	1407	110
927	1408	109
928	1409	107
929	1411	106
930	1412	104
931	1413	103
932	1415	101
933	1417	100
934	1418	98
935	1419	97
936	1420	95
